,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,1.9098183762724166e-05,
45,1.9098183762724166e-05,
46,1.9098183762724166e-05,
47,1.9098183762724166e-05,
48,3.819636752544833e-05,
49,5.72945512881725e-05,
50,0.00019098183762724166,
51,0.00024827638891541416,
52,0.0003819636752544833,
53,0.0006493382479326217,
54,0.0010122037394243808,
55,0.0011076946582380016,
56,0.0014132655984415883,
57,0.0015087565172552091,
58,0.0019289165600351408,
59,0.0022153893164760033,
60,0.0025591566242050383,
61,0.0033994767097649016,
62,0.0038387349363075574,
63,0.004010618590172075,
64,0.004870036859494662,
65,0.005366589637325491,
66,0.0058058478638681466,
67,0.0063787933767498715,
68,0.006569775214377113,
69,0.007028131624682493,
70,0.0076392735050896665,
71,0.007601077137564218,
72,0.007486488034987873,
73,0.008059433547869598,
74,0.008078531731632322,
75,0.007677469872615115,
76,0.008365004488073185,
77,0.00893795000095491,
78,0.009606386432650256,
79,0.008727869979564944,
80,0.01077137564217643,
81,0.013215943163805123,
82,0.012776684937262467,
83,0.011936364851702604,
84,0.012413819445770708,
85,0.012681194018448846,
86,0.015717805236721987,
87,0.01489658333492485,
88,0.013922575963025917,
89,0.01558411795038292,
90,0.01587059070682378,
91,0.015526823399094747,
92,0.016653616241095473,
93,0.01690189263001089,
94,0.017570329061706233,
95,0.016997383548824508,
96,0.017302954489028095,
97,0.021027100322759305,
98,0.03852103664941465,
99,0.044766142739825446,
100,0.052672790817593254,
101,0.05884150417295316,
102,0.06499111934455035,
103,0.07339432020014897,
104,0.08072802276503506,
105,0.07528504039265865,
106,0.08093810278642502,
107,0.0835354557781555,
108,0.08741238708198851,
109,0.08832909990259927,
110,0.08750787800080213,
111,0.08855827810775196,
112,0.08282882297893471,
113,0.07771050973052464,
114,0.07927656079906802,
115,0.07988770267947519,
116,0.08405110673974905,
117,0.08739328889822578,
118,0.08666755791524228,
119,0.09075456924046524,
120,0.0910410419969061,
121,0.09106014018066882,
122,0.09310364584328032,
123,0.09371478772368748,
124,0.09438322415538283,
125,0.0942113405015183,
126,0.09155669295849966,
127,0.09062088195412617,
128,0.0863810851588014,
129,0.08288611753022287,
130,0.08160653921812036,
131,0.07433013120452245,
132,0.06762666870380626,
133,0.06506751207960124,
134,0.06355875556234603,
135,0.06592693034892383,
