,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.000160479298170536,
50,0.00026746549695089335,
51,0.0005349309939017867,
52,0.0006954102920723227,
53,0.0006954102920723227,
54,0.0011233550871937521,
55,0.0012303412859741094,
56,0.001337327484754467,
57,0.00160479298170536,
58,0.0017652722798758961,
59,0.0023536963731678614,
60,0.002781641168289291,
61,0.0032630790628008985,
62,0.003851503156092865,
63,0.004493420348775009,
64,0.005402803038408046,
65,0.007596020113405371,
66,0.00807745800791698,
67,0.009040333796940195,
68,0.010645126778645556,
69,0.011768481865839307,
70,0.013373274847544667,
71,0.014282657537177706,
72,0.01652936771156521,
73,0.018027174494490213,
74,0.020969294960950038,
75,0.02177169145180272,
76,0.02573018080667594,
77,0.026907028993259873,
78,0.0313469562426447,
79,0.03188188723654649,
80,0.03364715951642239,
81,0.03305873542313042,
82,0.03514496629934739,
83,0.02936771156520809,
84,0.02567668770728576,
85,0.032523804429228635,
86,0.03321921472130095,
87,0.03337969401947149,
88,0.03214935273349738,
89,0.03348668021825185,
90,0.03348668021825185,
91,0.04627153097250455,
92,0.041671124424949184,
93,0.04332941050604472,
94,0.04611105167433401,
95,0.04702043436396705,
96,0.04557612068043222,
97,0.053653578688349204,
98,0.053653578688349204,
99,0.055365357868834925,
100,0.05306515459505724,
101,0.057344602546271536,
102,0.06017973681395101,
103,0.06451267786455547,
104,0.06215898149138761,
105,0.057451588745051886,
106,0.057719054242002785,
107,0.06135658500053494,
108,0.0549374130737135,
109,0.05322563389322778,
110,0.05376056488712957,
111,0.054776933775542956,
112,0.054188509682250995,
113,0.05049748582432867,
114,0.04942762383652509,
115,0.04413180699689741,
116,0.041671124424949184,
117,0.056488712956028676,
118,0.0549374130737135,
119,0.054188509682250995,
120,0.055311864769444746,
121,0.05547234406761528,
122,0.06456617096394565,
123,0.07039691879747513,
124,0.04985556863164652,
125,0.05033700652615813,
126,0.050123034128597414,
127,0.047715844656039376,
128,0.04637851717128491,
129,0.04445276559323847,
130,0.04006633144324383,
131,0.041350165828608114,
132,0.047715844656039376,
133,0.0473948860596983,
134,0.0529046752968867,
135,0.06317535037980102,
136,0.06285439178345995,
137,0.06681288113833316,
138,0.06761527762918584,
139,0.05798651973895368,
