,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,1.3352739314470362e-05,
42,1.3352739314470362e-05,
43,1.3352739314470362e-05,
44,2.6705478628940724e-05,
45,2.6705478628940724e-05,
46,2.6705478628940724e-05,
47,9.346917520129254e-05,
48,9.346917520129254e-05,
49,0.00020029108971705544,
50,0.00020029108971705544,
51,0.00020029108971705544,
52,0.0004005821794341109,
53,0.0004139349187485813,
54,0.000440640397377522,
55,0.0004272876580630516,
56,0.0006275787477801071,
57,0.001615681457050914,
58,0.0016023287177364435,
59,0.002016263636485025,
60,0.002964308127812421,
61,0.0033248320893031202,
62,0.004700164238693568,
63,0.005768383383851197,
64,0.006476078567518127,
65,0.008358814810858447,
66,0.00996114352859489,
67,0.01212428729753909,
68,0.013526324925558478,
69,0.014674660506602929,
70,0.014487722156200344,
71,0.01646392757474196,
72,0.01775914328824558,
73,0.019668585010214845,
74,0.018987595305176855,
75,0.020937095245089528,
76,0.02308688627471926,
77,0.024662509513826758,
78,0.024008225287417712,
79,0.02424857459507818,
80,0.02538355743680816,
81,0.025797492355556742,
82,0.02547702661200945,
83,0.023607643107983602,
84,0.022325780133794448,
85,0.022980064360203497,
86,0.025957725227330388,
87,0.02424857459507818,
88,0.02571737591966992,
89,0.025396910176122632,
90,0.024769331428342523,
91,0.02637166014607897,
92,0.02678559506482755,
93,0.02575743413761333,
94,0.028214338171475874,
95,0.02719952998357613,
96,0.026678773150311787,
97,0.031165293559973828,
98,0.03259403666662216,
99,0.035184468093629406,
100,0.041900895968808,
101,0.04369016303694703,
102,0.04251512197727363,
103,0.0422614199302987,
104,0.041073026131310836,
105,0.043276228118198444,
106,0.04506549518633748,
107,0.03933717002042969,
108,0.03810871800349842,
109,0.04130002269965683,
110,0.042635296631103874,
111,0.041273317221027894,
112,0.04085938230227931,
113,0.04159378296457518,
114,0.043583341122431264,
115,0.048323563579068245,
116,0.050139536125836215,
117,0.05318396068953546,
118,0.05815117971451843,
119,0.05752360096673833,
120,0.05808441601794608,
121,0.05986033034677064,
122,0.06326527887196058,
123,0.06274452203869624,
124,0.06557530277336396,
125,0.05892563859475772,
126,0.06007397417580216,
127,0.060808374838098034,
128,0.06508125141872856,
129,0.06614947056388618,
130,0.05952651186390888,
131,0.0710499258922968,
132,0.07695183666929271,
133,0.08207928856604932,
134,0.08603169940313256,
