,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,5.6718280301741244e-05,
39,5.6718280301741244e-05,
40,0.00017015484090522373,
41,0.00017015484090522373,
42,0.00017015484090522373,
43,0.00017015484090522373,
44,0.00017015484090522373,
45,0.00028359140150870625,
46,0.0007373376439226363,
47,0.0006239010833191537,
48,0.0006806193636208949,
49,0.0009074924848278599,
50,0.001191083886336566,
51,0.0015313935681470136,
52,0.0017015484090522374,
53,0.0014179570075435312,
54,0.0018717032499574611,
55,0.0028359140150870624,
56,0.0031195054165957686,
57,0.0036299699393114396,
58,0.004764335545346264,
59,0.0057285463104758665,
60,0.006919630196812431,
61,0.008110714083148998,
62,0.00816743236345074,
63,0.010833191537632578,
64,0.012875049628495264,
65,0.01701548409052237,
66,0.019397651863195507,
67,0.021949974476773864,
68,0.023538086325222616,
69,0.027224774544835798,
70,0.026657591741818386,
71,0.02892632295388804,
72,0.027451647666042762,
73,0.02949350575690545,
74,0.029436787476603707,
75,0.02989053371901764,
76,0.027905393908456696,
77,0.02858601327207759,
78,0.02813226702966366,
79,0.02682774658272361,
80,0.02540978957518008,
81,0.026090408938800973,
82,0.025579944416085305,
83,0.025579944416085305,
84,0.024048550847938287,
85,0.023538086325222616,
86,0.023424649764619134,
87,0.022403720719187795,
88,0.021666383075265156,
89,0.021042481991946003,
90,0.020985763711644262,
91,0.022460438999489532,
92,0.022120129317679087,
93,0.022290284158584313,
94,0.023311213204015652,
95,0.022800748681299984,
96,0.022630593840394758,
97,0.021723101355566897,
98,0.021949974476773864,
99,0.021779819635868638,
100,0.02274403040099824,
101,0.021666383075265156,
102,0.02092904543134252,
103,0.023027621802506948,
104,0.025693380976688784,
105,0.026600873461516645,
106,0.027054619703930576,
107,0.027678520787249725,
108,0.02960694231750893,
109,0.030854744484147236,
110,0.02966366059781067,
111,0.029039759514491517,
112,0.027905393908456696,
113,0.027621802506947988,
114,0.026430718620611422,
115,0.02546650785548182,
116,0.02234700243888605,
117,0.022573875560093017,
118,0.021042481991946003,
119,0.021949974476773864,
120,0.019170778741988543,
121,0.018603595938971127,
122,0.01576768192388407,
123,0.01724235721172934,
124,0.01503034427996143,
125,0.013782542113323124,
126,0.013612387272417899,
127,0.015313935681470136,
128,0.015313935681470136,
129,0.017072202370824116,
130,0.01820656797685894,
131,0.020191707787419882,
132,0.020985763711644262,
133,0.020645454029833813,
