,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,4.633920296570899e-05,
47,0.00013901760889712696,
48,0.00013901760889712696,
49,0.00013901760889712696,
50,0.00013901760889712696,
51,0.0006255792400370714,
52,0.0008572752548656164,
53,0.0008804448563484708,
54,0.0009036144578313253,
55,0.001413345690454124,
56,0.0016450417052826692,
57,0.002015755329008341,
58,0.0020389249304911955,
59,0.0026645041705282667,
60,0.004147358665430955,
61,0.004819277108433735,
62,0.005143651529193698,
63,0.007228915662650603,
64,0.008480074142724746,
65,0.011306765523632993,
66,0.013577386468952733,
67,0.015500463392029658,
68,0.017724745134383692,
69,0.02219647822057461,
70,0.025324374420759965,
71,0.02879981464318814,
72,0.03257645968489342,
73,0.038646895273401295,
74,0.040454124189063946,
75,0.0430259499536608,
76,0.04828544949026877,
77,0.050115848007414275,
78,0.05421686746987952,
79,0.05783132530120482,
80,0.06177015755329008,
81,0.0610518999073216,
82,0.06612604263206673,
83,0.06566265060240964,
84,0.06605653382761817,
85,0.06596385542168676,
86,0.06911492122335497,
87,0.06897590361445784,
88,0.07564874884151994,
89,0.07546339202965709,
90,0.08032900834105654,
91,0.08741890639481001,
92,0.09529657089898054,
93,0.11316033364226136,
94,0.11413345690454124,
95,0.10289620018535682,
96,0.10563021316033365,
97,0.1092215013901761,
98,0.10882761816496757,
99,0.11237256719184431,
100,0.10502780352177943,
101,0.11040315106580166,
102,0.13204355885078778,
103,0.1378359592215014,
104,0.1371177015755329,
105,0.12275254865616313,
106,0.13262279888785913,
107,0.12606580166821132,
108,0.12641334569045412,
109,0.1252548656163114,
110,0.12910101946246524,
111,0.12822057460611677,
112,0.15016218721038,
113,0.14443929564411492,
114,0.14657089898053755,
115,0.15023169601482855,
116,0.14606116774791475,
117,0.14066265060240965,
118,0.1468489341983318,
119,0.14260889712696942,
120,0.14645505097312328,
121,0.14538924930491195,
122,0.13999073215940686,
123,0.1357506950880445,
124,0.15261816496756256,
125,0.16672845227062094,
126,0.17013438368860057,
127,0.16837349397590362,
128,0.17562557924003708,
129,0.18262279888785915,
130,0.19362835959221503,
131,0.1776413345690454,
132,0.15963855421686748,
133,0.15412418906394812,
134,0.14937442075996293,
135,0.13887859128822985,
136,0.13382761816496758,
137,0.13445319740500464,
138,0.13517145505097314,
